ID,Link,Left,Through,Right,laneID,length
11528,105008,1049721,1054781,0,1050081,1973.5588546088745
11529,105009,0,1050102,1050376,1050092,249.66556494842902
11530,105009,0,1050101,0,1050091,250.4891222962556
11531,105010,0,1050491,0,1050104,10.358293654402038
11532,105010,0,1050492,0,1050105,10.358299627402046
11533,105010,1050461,0,0,1050101,10.35830560100568
11534,105010,0,0,0,1050102,10.358311573332418
11535,105010,0,0,0,1050103,10.358317546317702
11536,105010,0,0,0,1050106,10.358323520570067
11537,105037,0,1050391,0,1050372,208.5540772525264
11538,105037,0,1050392,0,1050373,212.43788040725815
11539,105037,0,1050393,0,1050374,216.3216847911769
11540,105037,1050411,0,0,1050371,220.20549040389588
11541,105037,0,0,0,1050375,224.0892972464128
11542,105037,0,0,0,1050376,227.9731053168357
11543,105046,0,1050571,0,1050464,19.909768396000924
11544,105046,0,1050572,0,1050465,19.90976827755275
11545,105046,0,1050573,0,1050462,19.909768159800297
11546,105046,0,1050574,0,1050463,19.909768042047837
11547,105046,1050481,0,0,1050461,19.909767924295366
11548,105046,0,0,0,1050466,19.909767806542888
11549,105049,1050471,1050521,0,1050491,51.64818581055253
11550,105049,0,1050522,0,1050492,53.46380564110194
11551,105011,0,1050371,0,1050112,22.505197585992835
11552,105011,0,1050372,0,1050113,22.5051979159315
11553,105011,0,1050373,0,1050114,22.50519824534046
11554,105011,0,1050374,0,1050115,22.505198575279064
11555,105011,1050101,0,0,1050111,22.505198904687955
11556,105011,0,0,0,1050116,22.505199234626495
11557,105012,1050091,1050081,0,1050121,255.3682596562916
11558,105012,0,1050082,0,1050122,259.0613229763907
11559,105013,0,1050051,0,1050131,109.83980539962286
11560,105013,0,1050052,0,1050132,109.6446051471128
11561,105019,0,1050221,0,1050191,110.63520664380451
11562,105015,0,1050241,0,1050151,10.174534532494045
11563,105015,0,0,0,1050152,10.174534595674741
11564,105018,0,1049961,0,1050181,9.095058487772482
11565,105018,0,0,0,1050182,9.09505847001304
11566,105016,0,1050181,0,1050161,10.174534406827972
11567,105016,0,1050182,0,1050162,10.174534343647263
11568,105024,0,1050251,0,1050241,217.23782493240722
11569,105020,0,1050131,0,1050201,109.47071883053249
11570,105020,0,1050132,0,1050202,108.88847494095643
11571,105022,0,1050281,0,1050221,55.19114237667776
11572,105021,0,1050201,0,1050211,55.19113889629115
11573,105021,0,1050202,0,1050212,55.19113715526402
11574,105028,0,1050321,0,1050281,49.28590542085807
11575,105023,0,1050161,0,1050231,215.51500634452188
11576,105023,0,1050162,0,1050232,214.65359707627653
11577,105025,0,1050291,0,1050251,56.918738648676836
11578,105026,0,1050231,0,1050261,55.625380955540386
11579,105026,0,1050232,0,1050262,54.97870216270164
11580,105029,0,1050331,0,1050291,46.64687389756204
11581,105027,0,1050211,0,1050271,48.75856757484445
11582,105027,0,1050212,0,1050272,48.49489869455972
11583,105032,0,1050361,0,1050321,13.786585423876778
11584,105030,0,1050261,0,1050301,46.64686921555473
11585,105030,0,1050262,0,1050302,46.64686687480311
11586,105033,0,0,0,1050331,129.81478603371116
11587,105031,0,1050271,0,1050311,13.786583417226058
11588,105031,0,1050272,0,1050312,13.78658241294095
11589,105036,0,0,0,1050361,120.5306350649778
11590,105034,0,1050301,0,1050341,129.62749426437426
11591,105034,0,1050302,0,1050342,129.53384840545044
11592,105035,0,1050311,0,1050351,120.53061313087734
11593,105035,0,1050312,0,1050352,120.53060216413695
11594,105039,0,1050401,0,1050392,89.16215037540259
11595,105039,0,0,0,1050391,89.16215171304799
11596,105039,0,0,0,1050393,89.1621530513785
11597,105041,0,0,1050492,1050416,211.46682205307934
11598,105041,0,1050461,0,1050412,215.99703967081328
11599,105041,0,1050462,0,1050413,220.5272573952223
11600,105041,0,1050463,0,1050414,225.05747522274567
11601,105041,0,1050464,0,1050415,229.58769315623857
