Id,nLane,tLinkID,FN,TN,linkID,freeflowsp,length,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9,FREEFL1,FREEFL2,FREEFL3,FREEFL4,FREEFL5,FREEFL6,FREEFL7,FREEFL8,FREEFL9,FREEFL10,FREEFL11,FREEFL12,FREEFL13,FREEFL14,FREEFL15,FREEFL16,FREEFL17,FREEFL18,FREEFL19,FREEFL20,FREEFL21,FREEFL22,FREEFL23,FREEFL24,fid
100035,2.0,100034,980,977,100035,35,102.74197968991771,0,100036,0,1000351,1000352,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100035
100033,2.0,100032,979,980,100033,35,192.535955011684,0,100035,0,1000331,1000332,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100033
100034,2.0,100035,977,980,100034,35,102.74197968991771,0,100032,0,1000341,1000342,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100034
100036,2.0,100037,977,973,100036,35,64.48135853389059,0,100039,0,1000361,1000362,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100036
100037,2.0,100036,973,977,100037,35,64.48135853389059,0,100034,0,1000371,1000372,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100037
100039,2.0,100038,973,966,100039,35,153.83050623192503,0,100040,0,1000391,1000392,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100039
100038,2.0,100039,966,973,100038,35,153.83050623192503,0,100037,0,1000381,1000382,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100038
100040,2.0,100041,966,965,100040,35,76.79179346072736,0,100042,0,1000401,1000402,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100040
100041,2.0,100040,965,966,100041,35,76.79179346072736,0,100038,0,1000411,1000412,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100041
100042,2.0,100043,965,963,100042,35,77.77816099515454,0,100061,0,1000421,1000422,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100042
