LinkID,LaneNum,RoadType,TLinkID,FnJunction,TnJunction,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9,Length
104882,3.0,1.0,0,5075,5050,104916,104915,0,1048821,1048822,1048823,0,0,0,0,0,0,402.0118119357455
104883,2.0,1.0,0,5075,5558,0,104917,0,1048831,1048832,0,0,0,0,0,0,0,491.897663299586
104884,2.0,1.0,104452,5126,5109,104450,104451,0,1048841,1048842,0,0,0,0,0,0,0,17.155359382595805
104885,3.0,1.0,0,5580,5578,104919,104918,0,1048851,1048852,1048853,0,0,0,0,0,0,9.46074436909087
104886,3.0,1.0,0,5580,5375,0,104920,0,1048861,1048862,1048863,0,0,0,0,0,0,230.10010956121965
104887,2.0,1.0,0,5577,5583,0,104921,0,1048871,1048872,0,0,0,0,0,0,0,33.948566119311145
104888,4.0,1.0,104454,5577,5599,0,104455,104453,1048881,1048882,1048883,1048884,0,0,0,0,0,431.43251132557725
104786,2.0,1.0,0,3942,3844,0,104594,0,1047861,1047862,0,0,0,0,0,0,0,83.06740722258105
104787,5.0,1.0,0,3942,3948,0,104593,0,1047871,1047872,1047873,1047874,1047875,0,0,0,0,9.939909308803998
106346,2.0,9.0,0,7090,7180,0,107653,0,1063461,1063462,0,0,0,0,0,0,0,148.2919560381764
106347,1.0,9.0,0,7104,7218,107654,107655,0,1063471,0,0,0,0,0,0,0,0,51.558856418413015
106348,1.0,9.0,0,7157,7288,107656,107657,0,1063481,0,0,0,0,0,0,0,0,79.13581223197609
106349,1.0,2.0,0,7157,7176,107659,107658,0,1063491,0,0,0,0,0,0,0,0,26.25439214815686
106350,1.0,9.0,0,7044,7206,107661,107660,0,1063501,0,0,0,0,0,0,0,0,82.75571587617097
106351,2.0,9.0,0,7044,7090,0,106346,0,1063511,1063512,0,0,0,0,0,0,0,36.264036209267296
104776,2.0,2.0,0,5488,5529,104845,104844,0,1047761,1047762,0,0,0,0,0,0,0,37.75784405529936
105140,3.0,2.0,0,5617,7960,105236,105237,0,1051401,1051402,1051403,0,0,0,0,0,0,2072.1256054351497
105141,3.0,2.0,0,5617,6918,105238,105239,0,1051411,1051412,1051413,0,0,0,0,0,0,2138.27680611325
105142,4.0,1.0,104467,5281,5195,0,0,0,1051421,1051422,1051423,1051424,0,0,0,0,0,106.00110445289152
105143,2.0,9.0,0,5281,5315,0,105240,0,1051431,1051432,0,0,0,0,0,0,0,37.6096765526425
105144,4.0,1.0,105241,5281,5331,0,105243,105242,1051441,1051442,1051443,1051444,0,0,0,0,0,42.59614318059636
105145,3.0,3.0,0,4994,4311,102924,102925,0,1051451,1051452,1051453,0,0,0,0,0,0,981.2553425259857
105146,4.0,1.0,104471,5241,5203,104470,104469,104472,1051461,1051462,1051463,1051464,0,0,0,0,0,40.690453603976614
105147,4.0,1.0,105244,5241,5274,0,105245,0,1051471,1051472,1051473,1051474,0,0,0,0,0,40.698722926841114
105148,4.0,1.0,105247,5522,5517,105249,105248,105246,1051481,1051482,1051483,1051484,0,0,0,0,0,10.980293015965138
105149,4.0,1.0,105252,5522,5734,105253,105251,105250,1051491,1051492,1051493,1051494,0,0,0,0,0,256.4337370800074
105150,4.0,1.0,104472,5522,5203,104470,104469,104471,1051501,1051502,1051503,1051504,0,0,0,0,0,477.270541986764
104473,2.0,1.0,0,3461,3388,102911,102910,0,1044731,1044732,0,0,0,0,0,0,0,239.16821641587768
104474,3.0,2.0,0,3461,2355,103413,103412,0,1044741,1044742,1044743,0,0,0,0,0,0,1790.7889514724493
104475,3.0,2.0,0,3475,2848,0,103844,0,1044751,1044752,1044753,0,0,0,0,0,0,877.3057905570896
104498,4.0,1.0,104478,4136,3886,104476,104477,104479,1044981,1044982,1044983,1044984,0,0,0,0,0,332.2772922583157
104499,4.0,1.0,104537,4136,4214,104539,104538,0,1044991,1044992,1044993,1044994,0,0,0,0,0,120.54731968477645
104500,2.0,1.0,104540,4136,4238,104541,104542,0,1045001,1045002,0,0,0,0,0,0,0,90.19291426669346
104501,2.0,1.0,104479,3994,3886,104478,104476,104477,1045011,1045012,0,0,0,0,0,0,0,114.65557913041599
104502,2.0,1.0,104545,3994,4056,104544,104543,0,1045021,1045022,0,0,0,0,0,0,0,81.51288438957107
104503,2.0,1.0,104548,3994,4351,0,104547,104546,1045031,1045032,0,0,0,0,0,0,0,373.70989876096775
104504,2.0,1.0,0,4008,3880,0,104531,0,1045041,1045042,0,0,0,0,0,0,0,374.6593151917291
104505,2.0,1.0,0,3786,3715,104533,104532,0,1045051,1045052,0,0,0,0,0,0,0,117.97295006554538
104506,2.0,9.0,0,3786,3678,0,104534,0,1045061,1045062,0,0,0,0,0,0,0,175.37790795632256
104557,5.0,1.0,105228,4965,4967,0,105227,0,1045571,1045572,1045573,1045574,1045575,0,0,0,0,16.469059491248558
104558,2.0,1.0,0,4965,5137,0,105229,105230,1045581,1045582,0,0,0,0,0,0,0,144.9281003322732
104559,2.0,1.0,104559,4965,4965,0,104557,104558,1045591,1045592,0,0,0,0,0,0,0,199.49382465991496
104560,4.0,1.0,105231,5338,5397,0,105232,0,1045601,1045602,1045603,1045604,0,0,0,0,0,53.52099804585311
104561,2.0,1.0,104487,5338,5199,0,104488,104486,1045611,1045612,0,0,0,0,0,0,0,365.3227819087672
104562,3.0,1.0,105210,4533,4496,0,105211,105209,1045621,1045622,1045623,0,0,0,0,0,0,53.49595259517477
104563,2.0,9.0,0,4533,4513,0,105222,0,1045631,1045632,0,0,0,0,0,0,0,42.846059879050614
104564,3.0,1.0,104488,4533,5199,104486,104487,0,1045641,1045642,1045643,0,0,0,0,0,0,1024.2259240223018
104565,4.0,1.0,104489,5563,5603,0,104490,0,1045651,1045652,1045653,1045654,0,0,0,0,0,32.717570224319125
