FID,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,X,Y,Name,num_L1,num_L2,num_DC
39,41,0.052793109450000,0.000143093040000,Central Harlem,41,Manhattan,-73.951293438999997,40.804342226000003,Upper Manhattan,0,3,0
40,42,0.092709227460000,0.000263896950000,Central Harlem North,42,Manhattan,-73.940773101600001,40.818266140399999,Upper Manhattan,0,4,0
41,43,0.099738618360000,0.000379662910000,Central Park,43,Manhattan,-73.965555005200002,40.782486371200001,Midtown Manhattan,0,1,0
42,44,0.235688967590000,0.001944656490000,Charleston/Tottenville,44,Staten Island,-74.233535059299996,40.525502793400001,Staten Island,0,0,12
43,45,0.045906862620000,0.000091359470000,Chinatown,45,Manhattan,-73.998152945000001,40.712467568400001,Downtown Manhattan,0,0,0
44,47,0.089827556330000,0.000163198120000,Claremont/Bathgate,47,Bronx,-73.900317328400007,40.842757461600002,Bronx,0,0,0
45,48,0.043746744140000,0.000094253840000,Clinton East,48,Manhattan,-73.989846089500006,40.762261021999997,Midtown Manhattan,0,18,0
46,49,0.075290018340000,0.000203185530000,Clinton Hill,49,Brooklyn,-73.962364971200003,40.687975710200000,Brooklyn,0,6,0
47,50,0.055747986750000,0.000173249280000,Clinton West,50,Manhattan,-73.995136669000004,40.766245992300000,Midtown Manhattan,0,12,1
48,51,0.095361344230000,0.000395756550000,Co-Op City,51,Bronx,-73.828265074399994,40.873981349099999,Bronx,0,0,12
49,52,0.028907671010000,0.000045202750000,Cobble Hill,52,Brooklyn,-73.996725475700003,40.686659493299999,Brooklyn,0,0,0
50,53,0.161500913390000,0.000947530980000,College Point,53,Queens,-73.842814895800004,40.780920631199997,Queens,0,8,0
51,54,0.076219244860000,0.000132452130000,Columbia Street,54,Brooklyn,-74.002912723400001,40.687208998800003,Brooklyn,0,0,0
52,55,0.149956807520000,0.000736274710000,Coney Island,55,Brooklyn,-73.987944868599996,40.576968983999997,Brooklyn,0,0,0
53,56,0.056847812670000,0.000180907840000,Corona,56,Queens,-73.858846652500006,40.741415042000000,Queens,0,0,0
54,57,0.019270504860000,0.000018025980000,Corona,56,Queens,-73.853582962399997,40.751827636400002,Queens,0,0,0
55,58,0.059855409490000,0.000204980930000,Country Club,58,Bronx,-73.820394589399996,40.841460388800002,Bronx,0,0,0
56,59,0.037794807090000,0.000062876520000,Crotona Park,59,Bronx,-73.894987305499996,40.838558573400000,Bronx,0,0,0
57,60,0.078648287820000,0.000161833280000,Crotona Park East,60,Bronx,-73.885901451600006,40.833998761600000,Bronx,0,0,0
58,61,0.117310808100000,0.000510772090000,Crown Heights North,61,Brooklyn,-73.939288483499993,40.674477669500000,Brooklyn,0,2,0
59,62,0.082259335980000,0.000158238170000,Crown Heights South,62,Brooklyn,-73.948789966700005,40.666548655100001,Brooklyn,0,0,0
60,63,0.119100721880000,0.000353190910000,Cypress Hills,63,Brooklyn,-73.878174016299994,40.683848017099997,Brooklyn,0,1,0
61,64,0.184451884740000,0.001057902850000,Douglaston,64,Queens,-73.739338515900002,40.760623880399997,Queens,0,0,0
62,65,0.044607068370000,0.000081803880000,Downtown Brooklyn/MetroTech,65,Brooklyn,-73.986087446100001,40.695345783100002,Brooklyn,0,32,0
63,66,0.054633459360000,0.000108378860000,DUMBO/Vinegar Hill,66,Brooklyn,-73.985703057199999,40.702267193899999,Brooklyn,0,8,0
64,67,0.099747078160000,0.000394282270000,Dyker Heights,67,Brooklyn,-74.013802932800004,40.619627705699997,Brooklyn,0,0,0
65,68,0.049337379560000,0.000111073380000,East Chelsea,68,Manhattan,-73.999918868999998,40.748435818700003,Midtown Manhattan,0,11,0
66,69,0.078989645050000,0.000199051600000,East Concourse/Concourse Village,69,Bronx,-73.915030722099999,40.831424979900000,Bronx,0,0,0
67,70,0.063840318340000,0.000195458480000,East Elmhurst,70,Queens,-73.868397005899993,40.763360472300000,Queens,0,2,0
68,71,0.093169455180000,0.000382572590000,East Flatbush/Farragut,71,Brooklyn,-73.937967693199994,40.644296419699998,Brooklyn,0,0,0
69,72,0.095202069520000,0.000323532460000,East Flatbush/Remsen Village,72,Brooklyn,-73.922252392100006,40.652373051600001,Brooklyn,0,0,0
70,73,0.085302020910000,0.000291799750000,East Flushing,73,Queens,-73.807295569499999,40.754117158299998,Queens,0,0,0
71,74,0.110290936250000,0.000295038420000,East Harlem North,74,Manhattan,-73.937347040000006,40.801177756700000,Upper Manhattan,0,0,0
72,75,0.087663899770000,0.000240563930000,East Harlem South,75,Manhattan,-73.945751701399999,40.790019025100001,Upper Manhattan,0,13,0
73,76,0.241203016270000,0.001266601430000,East New York,76,Brooklyn,-73.876822015299993,40.660943447299999,Brooklyn,0,0,0
74,77,0.075461081440000,0.000191917980000,East New York/Pennsylvania Avenue,77,Brooklyn,-73.895365527799996,40.666567190199999,Brooklyn,0,0,0
75,78,0.093594449580000,0.000191114420000,East Tremont,78,Bronx,-73.885523233800001,40.844968696599999,Bronx,0,0,0
76,79,0.042624911310000,0.000107893070000,East Village,79,Manhattan,-73.985938899800004,40.727628455900003,Downtown Manhattan,0,9,0
77,80,0.117212621450000,0.000407322460000,East Williamsburg,80,Brooklyn,-73.936794571400000,40.715378141499997,Brooklyn,0,0,0
78,81,0.197592771730000,0.000399566550000,Eastchester,81,Bronx,-73.836644748500007,40.880943706700002,Bronx,0,0,0
79,82,0.119875649700000,0.000323601080000,Elmhurst,82,Queens,-73.877119741700000,40.739503912899998,Queens,0,1,13
80,83,0.105984933270000,0.000217463720000,Elmhurst/Maspeth,83,Queens,-73.892174794699997,40.738332079199999,Queens,0,4,0
81,84,0.233623987030000,0.002073755720000,Eltingville/Annadale/Prince's Bay,84,Staten Island,-74.187675830200007,40.528694660399999,Staten Island,0,6,0
82,85,0.057475147360000,0.000143637800000,Erasmus,85,Brooklyn,-73.951624609700005,40.646124592100001,Brooklyn,0,0,0
83,86,0.134245282580000,0.000623278820000,Far Rockaway,86,Queens,-73.755245058400007,40.602441036899997,Queens,0,0,0
84,87,0.036901549610000,0.000067205020000,Financial District North,87,Manhattan,-74.007497434200005,40.706816706799998,Downtown Manhattan,0,10,0
85,88,0.035204603530000,0.000057299950000,Financial District South,88,Manhattan,-74.011516478900006,40.703366157600001,Downtown Manhattan,0,0,0
86,89,0.122794569550000,0.000447548140000,Flatbush/Ditmas Park,89,Brooklyn,-73.960969678599994,40.637908366799998,Brooklyn,0,0,0
87,90,0.030759162080000,0.000055313250000,Flatiron,90,Manhattan,-73.996972862999996,40.742286891500001,Midtown Manhattan,0,17,0
88,91,0.124996624580000,0.000537330010000,Flatlands,91,Brooklyn,-73.930098431199994,40.626281005400003,Brooklyn,0,0,0
89,92,0.117830066800000,0.000374946620000,Flushing,92,Queens,-73.828860093499998,40.761110461900003,Queens,0,24,7
90,93,0.170998027600000,0.000594278180000,Flushing Meadows-Corona Park,93,Queens,-73.840868659600005,40.740684139800003,Queens,0,0,0
91,94,0.049832608310000,0.000062581940000,Fordham South,94,Bronx,-73.899537357599996,40.858163484800002,Bronx,0,0,0
92,95,0.113629605480000,0.000572770340000,Forest Hills,95,Queens,-73.847670810200000,40.721440538700001,Queens,0,18,0
93,96,0.185180248090000,0.000547566250000,Forest Park/Highland Park,96,Queens,-73.871559829700004,40.697008871100003,Queens,0,0,0
94,97,0.062476014740000,0.000163303970000,Fort Greene,97,Brooklyn,-73.974883523399996,40.690795047400002,Brooklyn,0,14,12
95,98,0.121661018280000,0.000485773020000,Fresh Meadows,98,Queens,-73.777254843199998,40.734470896799998,Queens,0,0,0
96,99,0.183371489300000,0.001210164640000,Freshkills Park,99,Staten Island,-74.186420010999996,40.576781858899999,Staten Island,0,0,0
97,100,0.024813109030000,0.000037470020000,Garment District,100,Manhattan,-73.988788044600000,40.753521023700003,Midtown Manhattan,0,2,0
98,101,0.101709836280000,0.000452342530000,Glen Oaks,101,Queens,-73.711027342899996,40.746002091599998,Queens,0,0,0
99,102,0.136900484650000,0.000296595470000,Glendale,102,Queens,-73.875737173299996,40.703553869899999,Queens,0,0,10
100,106,0.049211011980000,0.000113616830000,Gowanus,106,Brooklyn,-73.990648714800002,40.673521046099999,Brooklyn,0,11,0
101,107,0.038041364590000,0.000074611220000,Gramercy,107,Manhattan,-73.984053575600001,40.736832319500003,Midtown Manhattan,0,17,0
102,108,0.111171412270000,0.000352866010000,Gravesend,108,Brooklyn,-73.981432583300005,40.588411698100003,Brooklyn,0,0,0
103,109,0.178267819600000,0.001169600760000,Great Kills,109,Staten Island,-74.150891292699995,40.551871217799999,Staten Island,0,0,0
104,110,0.103946292910000,0.000525745100000,Great Kills Park,110,Staten Island,-74.128343919900004,40.545788535900002,Staten Island,0,0,0
105,111,0.059930880070000,0.000208683280000,Green-Wood Cemetery,111,Brooklyn,-73.990235944099993,40.652145515500003,Brooklyn,0,0,0
106,112,0.107267875770000,0.000462068670000,Greenpoint,112,Brooklyn,-73.949541736300006,40.729514545900003,Brooklyn,0,15,0
107,113,0.032745350570000,0.000057963460000,Greenwich Village North,113,Manhattan,-73.994306216499993,40.732587333700003,Downtown Manhattan,0,23,0
108,114,0.031727034770000,0.000047020770000,Greenwich Village South,114,Manhattan,-73.997381706900001,40.728348651099999,Downtown Manhattan,0,7,0
109,115,0.116169413960000,0.000373168990000,Grymes Hill/Clifton,115,Staten Island,-74.087840278700000,40.617979610799999,Staten Island,0,0,0
110,116,0.068116484430000,0.000260415340000,Hamilton Heights,116,Manhattan,-73.948523167199994,40.827020935699998,Upper Manhattan,0,0,0
111,117,0.169885857990000,0.000904294270000,Hammels/Arverne,117,Queens,-73.789623454600004,40.594066993399998,Queens,0,0,0
