LinkID,LaneNum,TLinkID,FnJunction,TnJunction,SpeedLimit,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9
100079,2,0,98,120,35,0,100078,0,1000791,1000792,0,0,0,0,0,0,0
100081,1,100082,98,99,35,0,0,0,1000811,0,0,0,0,0,0,0,0
100082,1,100081,99,98,35,0,100079,0,1000821,0,0,0,0,0,0,0,0
100083,2,0,254,268,45,0,100092,0,1000831,1000832,0,0,0,0,0,0,0
100094,3,0,254,303,65,0,100356,0,1000941,1000942,1000943,0,0,0,0,0,0
100092,3,0,268,288,35,100093,100384,0,1000921,1000922,1000923,0,0,0,0,0,0
100084,2,0,242,250,35,0,100735,0,1000841,1000842,0,0,0,0,0,0,0
100091,3,0,242,268,35,0,100092,0,1000911,1000912,1000913,0,0,0,0,0,0
100735,3,0,250,247,35,100736,100737,0,1007351,1007352,1007353,0,0,0,0,0,0
100085,3,0,285,271,35,100086,100087,0,1000851,1000852,1000853,0,0,0,0,0,0
100086,1,0,271,261,45,0,100738,0,1000861,0,0,0,0,0,0,0,0
100087,3,0,271,250,35,0,100735,0,1000871,1000872,1000873,0,0,0,0,0,0
100738,3,0,261,205,65,0,100743,0,1007381,1007382,1007383,0,0,0,0,0,0
100088,3,0,301,261,65,0,100738,0,1000881,1000882,1000883,0,0,0,0,0,0
100090,2,0,301,285,45,0,100085,0,1000901,1000902,0,0,0,0,0,0,0
100089,3,0,360,301,65,100088,100090,0,1000891,1000892,1000893,0,0,0,0,0,0
100382,2,0,360,340,45,0,100381,0,1003821,1003822,0,0,0,0,0,0,0
100093,2,0,288,303,45,0,100356,0,1000931,1000932,0,0,0,0,0,0,0
100384,3,0,288,313,35,100373,100383,100627,1003841,1003842,1003843,0,0,0,0,0,0
100356,3,0,303,369,65,100355,100369,0,1003561,1003562,1003563,0,0,0,0,0,0
100095,3,0,320,285,35,0,100085,0,1000951,1000952,1000953,0,0,0,0,0,0
100096,2,100097,320,341,35,100114,100098,100379,1000961,1000962,0,0,0,0,0,0,0
100372,2,100373,320,313,35,100383,100627,0,1003721,1003722,0,0,0,0,0,0,0
100097,2,100096,341,320,35,0,100372,100095,1000971,1000972,0,0,0,0,0,0,0
100098,2,100099,341,377,35,0,100100,0,1000981,1000982,0,0,0,0,0,0,0
100114,2,100113,341,326,35,0,100117,0,1001141,1001142,0,0,0,0,0,0,0
100379,2,100380,341,361,35,0,100375,100378,1003791,1003792,0,0,0,0,0,0,0
100099,2,100098,377,341,35,100379,100097,100114,1000991,1000992,0,0,0,0,0,0,0
100100,5,0,377,381,35,0,100106,100102,1001001,1001002,1001003,1001004,1001005,0,0,0,0
100102,3,0,381,383,35,0,100103,100362,1001021,1001022,1001023,0,0,0,0,0,0
100106,5,0,381,386,35,0,100109,0,1001061,1001062,1001063,1001064,1001065,0,0,0,0
100101,5,0,379,377,35,100100,100099,0,1001011,1001012,1001013,1001014,1001015,0,0,0,0
100105,3,0,379,381,35,100106,100102,0,1001051,1001052,1001053,0,0,0,0,0,0
100103,3,0,383,395,35,0,100110,0,1001031,1001032,1001033,0,0,0,0,0,0
100104,3,0,383,381,35,0,100106,0,1001041,1001042,1001043,0,0,0,0,0,0
100362,3,0,383,446,35,0,100354,100365,1003621,1003622,1003623,0,0,0,0,0,0
100110,5,0,395,396,35,0,100111,0,1001101,1001102,1001103,1001104,1001105,0,0,0,0
100109,4,0,386,382,35,100107,100108,0,1001091,1001092,1001093,1001094,0,0,0,0,0
100107,5,0,382,379,35,100105,100101,0,1001071,1001072,1001073,1001074,1001075,0,0,0,0
100108,3,0,382,329,35,0,100119,0,1001081,1001082,1001083,0,0,0,0,0,0
100119,3,0,329,324,35,0,100115,100116,1001191,1001192,1001193,0,0,0,0,0,0
100111,4,0,396,386,35,0,100109,0,1001111,1001112,1001113,1001114,0,0,0,0,0
100112,3,0,327,379,35,0,100105,100101,1001121,1001122,1001123,0,0,0,0,0,0
100118,2,0,327,329,35,0,100119,0,1001181,1001182,0,0,0,0,0,0,0
100113,2,100114,326,341,35,100098,100379,100097,1001131,1001132,0,0,0,0,0,0,0
100117,3,0,326,327,35,0,100118,100112,1001171,1001172,1001173,0,0,0,0,0,0
100115,5,0,324,327,35,100118,100112,0,1001151,1001152,1001153,1001154,1001155,0,0,0,0
100116,3,0,324,326,35,100117,100113,0,1001161,1001162,1001163,0,0,0,0,0,0
100120,3,0,431,432,35,100121,100122,0,1001201,1001202,1001203,0,0,0,0,0,0
