LaneID,LinkID,Left,Through,Right,Length(m)
1077331,107733,1077501,0,0,926.5923184
1077334,107733,0,0,0,926.1169941
1070372,107037,0,1070221,0,366.4186641
1070371,107037,0,0,0,366.6093513
1070373,107037,0,0,0,366.8000386
1070391,107039,0,1070161,0,56.96682961
1070392,107039,0,0,0,56.82991291
1070401,107040,0,1070431,0,29.71979699
1070431,107043,0,1070641,0,307.9309677
1070432,107043,0,1070642,0,312.5836981
1070413,107041,0,0,1070392,24.55514385
1070412,107041,0,1070371,0,24.55514526
1070411,107041,1070401,0,0,24.55514666
1070442,107044,0,1070452,1070421,37.33535927
1070441,107044,0,1070451,0,38.29311735
1070421,107042,0,1070431,0,19.98620992
1070451,107045,0,1070341,0,27.20181028
1070452,107045,0,1070342,0,26.75972124
1070462,107046,0,1070421,0,142.2609396
1070461,107046,1070451,0,0,143.8623366
1070463,107046,0,0,0,145.4637337
1070482,107048,0,1070341,0,162.6350777
1070481,107048,0,0,0,162.8810408
1070483,107048,0,0,0,163.1270039
1070472,107047,0,1070411,0,257.286164
1070473,107047,0,1070412,0,263.292023
1070471,107047,1070441,0,0,269.2978807
1070474,107047,0,0,0,275.3037372
1070631,107063,0,1070691,1070591,65.93823674
1070512,107051,0,1070151,0,200.5544219
1070511,107051,0,0,0,201.2816179
1070513,107051,0,0,0,202.0088139
1070501,107050,0,1070511,0,32.08771282
1070573,107057,0,0,1070581,137.3331776
1070572,107057,0,1070601,0,137.034296
1070571,107057,0,0,0,136.7354144
1070532,107053,0,1077331,0,762.5000957
1070531,107053,0,0,0,765.9154248
1070533,107053,0,0,0,769.330754
1070551,107055,0,1070231,0,453.7954916
1070552,107055,0,1070232,0,457.2459848
1070651,107065,1070731,1070971,0,992.1083552
1070652,107065,0,1070972,0,993.551398
1070581,107058,1070621,1070691,0,62.60753197
1070603,107060,0,0,1070631,91.92435509
1070602,107060,0,1070471,0,91.92435145
1070601,107060,0,0,0,91.92434782
1070591,107059,0,1070601,0,62.60752969
1070621,107062,0,1070471,0,65.93819531
1070622,107062,0,1070472,0,65.9381746
1070691,107069,1070701,1070671,0,992.2519309
1070732,107073,0,1071881,0,377.993812
1070731,107073,0,0,0,376.835773
1070733,107073,0,0,0,375.677734
1070971,107097,1070951,1070921,0,96.37877066
1070972,107097,0,1070922,0,96.13731715
1070662,107066,0,1070551,0,962.3528903
1070661,107066,1070531,0,0,961.9816974
1070663,107066,0,0,0,961.6105045
1070671,107067,0,1070961,0,38.04967539
1070682,107068,0,0,1070622,991.9877567
1070681,107068,0,1070591,0,991.8556697
1070702,107070,0,1070802,1070721,26.4619949
1070701,107070,0,1070801,0,26.46199553
1070961,107096,0,1070661,0,116.6129606
1070962,107096,0,1070662,0,114.303396
1070712,107071,0,1070682,1070671,26.46199364
1070711,107071,0,1070681,0,26.46199301
1070721,107072,0,1070961,0,26.54803041
1070801,107080,0,1070771,0,6.178378166
1070802,107080,0,1070772,0,6.178378297
1071881,107188,1071771,1071781,0,1271.697257
1070742,107074,0,1071881,0,208.7327395
1070741,107074,0,0,0,206.8221288
1070743,107074,0,0,0,204.9115183
1070752,107075,0,1070861,0,63.49783285
1070753,107075,0,1070862,0,63.39129695
1070754,107075,0,1070863,0,63.28476113
1070751,107075,0,0,0,63.17822536
1070755,107075,0,0,0,63.07168967
1070892,107089,0,1070741,0,13.69364391
1070893,107089,0,1070742,0,13.69364396
1070894,107089,0,1070743,0,13.693644
1070891,107089,0,0,0,13.69364404
1070895,107089,0,0,0,13.69364408
1070862,107086,0,1070831,0,9.50079265
1070861,107086,1070941,0,0,9.209825375
1070863,107086,0,0,0,8.918858117
1070761,107076,0,1070791,0,43.94672507
1070762,107076,0,1070792,0,43.94672422
1070842,107084,0,1070852,1070945,105.0178858
1070841,107084,0,1070851,0,104.0330416
1070771,107077,0,1070841,0,43.94672676
1070772,107077,0,1070842,0,43.94672761
1070791,107079,1070721,1070711,0,6.178377906
1070792,107079,0,1070712,0,6.178377775
1070781,107078,0,1070841,1070762,58.08526917
1070811,107081,0,1070791,1070772,40.42279463
1070822,107082,0,1070781,0,261.3819507
1070821,107082,1070811,0,0,256.9022696
1070823,107082,0,0,0,252.42259
1070872,107087,0,1070661,0,279.7675169
1070871,107087,0,0,0,278.0879861
1070873,107087,0,0,0,276.4084554
1070832,107083,0,1070761,0,106.9875741
1070831,107083,0,0,0,107.9724182
1070833,107083,0,0,0,108.9572623
1070851,107085,0,0,0,10.08272725
1070852,107085,0,0,0,10.37369457
1070944,107094,0,1070931,0,93.59168718
